celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_total_score,week1_judge_count,week1_percent_score,week1_judge_rank,week2_total_score,week2_judge_count,week2_percent_score,week2_judge_rank,week3_total_score,week3_judge_count,week3_percent_score,week3_judge_rank,week4_total_score,week4_judge_count,week4_percent_score,week4_judge_rank,week5_total_score,week5_judge_count,week5_percent_score,week5_judge_rank,week6_total_score,week6_judge_count,week6_percent_score,week6_judge_rank,week7_total_score,week7_judge_count,week7_percent_score,week7_judge_rank,week8_total_score,week8_judge_count,week8_percent_score,week8_judge_rank,week9_total_score,week9_judge_count,week9_percent_score,week9_judge_rank,week10_total_score,week10_judge_count,week10_percent_score,week10_judge_rank,week11_total_score,week11_judge_count,week11_percent_score,week11_judge_rank,avg_weekly_score,score_std_dev,avg_judge_rank,partner_avg_placement,industry_prevalence,total_fan_saves_bottom1,total_fan_saves_bottom2,total_fan_saves_bottom3
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,11.3333,8.3333,11.3333,,9.0,9.0,9.0,,10.0,7.0,10.0,,10.0,8.0,10.0,,9.0,9.0,9.0,,11.0,10.0,12.0,,8.5,7.5,8.5,,9.5,10.0,10.0,,9.3333,9.6666,10.0,,9.4444,9.4444,9.4444,,,,,,30.999899999999997,3,1.0333299999999999,3.0,27.0,3,0.9,1.0,27.0,3,0.9,1.0,28.0,3,0.9333333333333333,1.0,27.0,3,0.9,2.0,33.0,3,1.1,2.0,24.5,3,0.8166666666666667,5.0,29.5,3,0.9833333333333333,1.0,28.9999,3,0.9666633333333333,1.0,28.333199999999998,3,0.94444,2.0,,0,,,28.433299999999996,2.37423048024688,1.9,7.0,61,0,0,1
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,10.3333,9.3333,10.3333,,8.0,9.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,10.0,9.0,10.0,,10.3333,10.3333,10.3333,,8.5,8.5,9.0,,8.5,8.0,8.5,,8.0,8.3333,8.3333,,9.6666,9.6666,9.6666,,,,,,29.999899999999997,3,0.9999966666666665,5.0,25.0,3,0.8333333333333334,3.0,21.0,3,0.7,4.0,24.0,3,0.8,4.0,29.0,3,0.9666666666666667,1.0,30.999899999999997,3,1.0333299999999999,5.0,26.0,3,0.8666666666666667,3.0,25.0,3,0.8333333333333334,4.0,24.666600000000003,3,0.8222200000000001,4.0,28.9998,3,0.96666,1.0,,0,,,26.46662,3.1552005285102096,3.4,6.285714285714286,61,2,2,2
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,9.6666,10.6666,10.6666,,6.0,7.0,6.0,,7.0,6.0,7.0,,8.0,7.0,8.0,,8.0,8.0,8.0,,8.6666,7.6666,8.6666,,8.5,8.5,9.0,,8.0,8.5,9.0,,8.6666,8.6666,8.6666,,8.5,8.5,8.2222,,,,,,30.9998,3,1.0333266666666667,4.0,19.0,3,0.6333333333333333,9.0,20.0,3,0.6666666666666666,6.0,23.0,3,0.7666666666666667,6.0,24.0,3,0.8,4.0,24.9998,3,0.8333266666666667,6.0,26.0,3,0.8666666666666667,3.0,25.5,3,0.85,3.0,25.9998,3,0.86666,3.0,25.2222,3,0.84074,3.0,,0,,,24.472159999999995,3.3584126922633493,4.7,7.0,67,0,2,2
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,5.5,5.5,5.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,0.5,10.0,19.0,3,0.6333333333333333,8.0,20.0,3,0.6666666666666666,7.0,16.5,3,0.55,8.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,17.625,2.286737122335374,8.25,7.545454545454546,128,0,1,1
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,6.0,6.0,6.0,,7.0,6.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,0.6,6.0,20.0,3,0.6666666666666666,6.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,19.0,1.4142135623730951,6.0,5.190476190476191,128,0,0,0
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,7.0,5.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,8.6666,8.6666,8.6666,,8.5,8.0,8.0,,7.0,7.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,0.6,6.0,21.0,3,0.7,5.0,21.0,3,0.7,4.0,18.0,3,0.6,7.0,18.0,3,0.6,6.0,25.9998,3,0.86666,6.0,24.5,3,0.8166666666666667,6.0,21.5,3,0.7166666666666667,5.0,0.0,3,0.0,,0.0,3,0.0,,,0,,,20.999975,3.0354571327890634,5.625,7.0,128,1,2,4
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,5.0,4.0,5.0,,4.0,4.0,4.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,14.0,3,0.4666666666666667,11.0,12.0,3,0.4,11.0,13.0,3,0.43333333333333335,10.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,13.0,1.0,10.666666666666666,7.25,1,2,2,2
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,6.0,7.0,,7.5,6.5,8.0,,6.0,6.0,6.0,,10.3333,10.3333,10.3333,,8.5,9.0,8.5,,7.5,7.5,7.5,,8.5,8.5,9.0,,0.0,0.0,0.0,,,,,,18.0,3,0.6,6.0,16.0,3,0.5333333333333333,9.0,20.0,3,0.6666666666666666,7.0,22.0,3,0.7333333333333333,4.0,18.0,3,0.6,6.0,30.999899999999997,3,1.0333299999999999,3.0,26.0,3,0.8666666666666667,3.0,22.5,3,0.75,4.0,26.0,3,0.8666666666666667,4.0,0.0,3,0.0,,,0,,,22.166655555555554,4.808823054321897,5.111111111111111,5.8,95,0,1,3
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,8.5,9.0,,10.0,9.5,10.0,,9.3333,8.7777,8.7777,,,,,,23.0,3,0.7666666666666667,2.0,24.0,3,0.8,2.0,26.0,3,0.8666666666666667,1.0,26.0,3,0.8666666666666667,1.0,27.0,3,0.9,2.0,27.0,3,0.9,5.0,27.0,3,0.9,1.0,26.5,3,0.8833333333333333,2.0,29.5,3,0.9833333333333333,1.0,26.888699999999996,3,0.8962899999999999,3.0,,0,,,26.288869999999996,1.778117885137103,2.0,8.181818181818182,95,0,0,1
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7.0,6.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,7.5,7.5,8.5,,7.0,6.0,8.0,,9.6666,9.6666,10.6666,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,3,0.7,3.0,22.0,3,0.7333333333333333,4.0,21.0,3,0.7,4.0,23.5,3,0.7833333333333333,3.0,21.0,3,0.7,5.0,29.9998,3,0.9999933333333334,4.0,25.5,3,0.85,4.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,23.428542857142855,3.3469303642079478,3.857142857142857,6.0,17,0,0,0
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9.0,7.0,9.0,,10.0,8.0,10.0,,8.0,6.0,9.0,,8.5,8.0,8.5,,10.0,9.0,10.0,,12.3333,10.3333,13.3333,,9.0,9.0,9.0,,10.0,9.5,10.0,,10.0,9.5,10.0,,9.5,9.5,9.7777,,,,,,25.0,3,0.8333333333333334,1.0,28.0,3,0.9333333333333333,1.0,23.0,3,0.7666666666666667,2.0,25.0,3,0.8333333333333334,2.0,29.0,3,0.9666666666666667,1.0,35.9999,3,1.1999966666666666,1.0,27.0,3,0.9,1.0,29.5,3,0.9833333333333333,1.0,29.5,3,0.9833333333333333,1.0,28.7777,3,0.9592566666666666,1.0,,0,,,28.07776,3.559693356393996,1.2,2.9411764705882355,61,0,0,0
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,7.0,7.0,7.0,,8.0,7.0,8.0,,8.0,7.0,8.0,,6.5,6.5,6.5,,7.0,7.0,8.0,,12.0,10.0,12.0,,8.5,8.5,8.5,,8.5,9.0,9.0,,9.5,9.0,9.5,,9.2222,8.8888,8.8888,,,,,,21.0,3,0.7,3.0,23.0,3,0.7666666666666667,3.0,23.0,3,0.7666666666666667,2.0,19.5,3,0.65,5.0,22.0,3,0.7333333333333333,4.0,34.0,3,1.1333333333333333,2.0,25.5,3,0.85,4.0,26.5,3,0.8833333333333333,2.0,28.0,3,0.9333333333333333,3.0,26.9998,3,0.8999933333333333,2.0,,0,,,24.94998,4.212734398833033,3.0,6.0,2,0,1,2
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.5,5.5,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,0.5333333333333333,9.0,15.0,3,0.5,10.0,15.0,3,0.5,9.0,16.0,3,0.5333333333333333,9.0,15.0,3,0.5,8.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,15.4,0.5477225575051662,9.0,7.666666666666667,67,1,3,4
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,6.5,6.5,6.0,,8.0,7.0,8.0,,8.3333,8.3333,8.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,20.0,3,0.6666666666666666,5.0,20.0,3,0.6666666666666666,6.0,21.0,3,0.7,4.0,19.0,3,0.6333333333333333,6.0,23.0,3,0.7666666666666667,3.0,24.999899999999997,3,0.8333299999999999,7.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,21.333316666666665,2.2508931564307226,5.166666666666667,7.285714285714286,67,0,0,0
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,0.5,10.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,15.0,,10.0,6.285714285714286,128,0,0,0
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6.0,6.0,6.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,6.0,6.0,5.5,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,0.6,7.0,19.0,3,0.6333333333333333,8.0,20.0,3,0.6666666666666666,7.0,17.5,3,0.5833333333333334,6.0,21.0,3,0.7,6.0,0.0,3,0.0,,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,19.1,1.4317821063276353,6.8,7.5,128,0,0,0
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8.0,7.0,8.0,,8.0,7.0,7.0,,8.0,7.0,8.0,,7.0,6.5,6.5,,8.0,5.0,7.0,,10.3333,9.3333,10.3333,,9.0,8.5,8.0,8.0,9.5,9.0,9.5,,10.0,9.0,10.0,,9.3333,8.6666,9.3333,,,,,,23.0,3,0.7666666666666667,2.0,22.0,3,0.7333333333333333,3.0,23.0,3,0.7666666666666667,5.0,20.0,3,0.6666666666666666,4.0,20.0,3,0.6666666666666666,7.0,29.999899999999997,3,0.9999966666666665,4.0,33.5,4,0.8375,5.0,28.0,3,0.9333333333333333,3.0,29.0,3,0.9666666666666667,2.0,27.333199999999998,3,0.9111066666666666,2.0,,0,,,25.58331,4.610258087364644,3.7,6.166666666666667,128,0,2,4
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.5,9.0,9.5,,8.0,8.0,9.0,,9.0,10.0,10.0,,9.5,9.0,9.0,9.0,9.5,9.5,9.5,,10.0,10.0,10.0,,10.0,10.0,10.0,,,,,,24.0,3,0.8,1.0,24.0,3,0.8,1.0,24.0,3,0.8,2.0,28.0,3,0.9333333333333333,1.0,25.0,3,0.8333333333333334,2.0,29.0,3,0.9666666666666667,5.0,36.5,4,0.9125,1.0,28.5,3,0.95,1.0,30.0,3,1.0,1.0,30.0,3,1.0,1.0,,0,,,27.9,3.9214509786273974,1.6,2.9411764705882355,128,0,0,1
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,7.0,6.5,,8.0,8.0,8.0,,10.0,10.0,10.0,,9.0,8.5,8.5,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,3,0.7333333333333333,4.0,21.0,3,0.7,5.0,24.0,3,0.8,2.0,19.5,3,0.65,5.0,24.0,3,0.8,3.0,30.0,3,1.0,3.0,34.5,4,0.8625,4.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,25.0,5.361902647381804,3.7142857142857144,5.8,95,0,0,0
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7.0,5.0,7.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,6.0,5.5,5.5,,8.0,8.0,8.0,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,0.6333333333333333,5.0,21.0,3,0.7,5.0,23.0,3,0.7666666666666667,5.0,17.0,3,0.5666666666666667,7.0,24.0,3,0.8,3.0,21.9999,3,0.73333,7.0,35.0,4,0.875,3.0,24.0,3,0.8,4.0,0.0,3,0.0,,0.0,3,0.0,,,0,,,23.1249875,5.3835095431558395,4.875,8.181818181818182,95,1,1,2
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5.0,5.0,5.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,0.5,10.0,18.0,3,0.6,9.0,18.0,3,0.6,10.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,17.0,1.7320508075688772,9.666666666666666,7.0,12,1,1,2
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6.0,5.0,5.0,,4.0,5.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,0.5333333333333333,9.0,12.0,3,0.4,11.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,14.0,2.8284271247461903,10.0,7.285714285714286,61,0,1,1
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,11.3333,12.3333,12.3333,,9.0,9.0,9.5,9.0,9.0,9.5,10.0,,9.5,9.5,9.5,,0.0,0.0,0.0,,,,,,23.0,3,0.7666666666666667,2.0,21.0,3,0.7,5.0,24.0,3,0.8,2.0,24.0,3,0.8,2.0,27.0,3,0.9,1.0,35.9999,3,1.1999966666666666,1.0,36.5,4,0.9125,1.0,28.5,3,0.95,1.0,28.5,3,0.95,3.0,0.0,3,0.0,,,0,,,27.6111,5.504398367669259,2.0,6.0,61,0,0,0
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,7.0,,5.0,4.5,4.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,0.5,10.0,18.0,3,0.6,9.0,20.0,3,0.6666666666666666,7.0,14.0,3,0.4666666666666667,9.0,0.0,3,0.0,,0.0,3,0.0,,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,16.75,2.753785273643051,8.75,6.722222222222222,67,1,1,2
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6.0,7.0,6.0,,8.0,8.0,7.0,,8.0,9.0,9.0,,8.0,7.5,7.5,,7.0,8.0,8.0,,10.6666,10.6666,10.6666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,0.6333333333333333,5.0,23.0,3,0.7666666666666667,2.0,26.0,3,0.8666666666666667,1.0,23.0,3,0.7666666666666667,3.0,23.0,3,0.7666666666666667,5.0,31.9998,3,1.06666,2.0,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,24.333299999999998,4.36646920749477,3.0,7.666666666666667,67,0,0,0
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,6.0,6.0,6.0,,7.0,8.0,7.0,,6.0,6.0,7.0,,5.0,5.5,5.5,,6.0,6.0,6.0,,9.6666,8.6666,9.6666,,8.5,8.0,8.0,8.0,7.5,8.0,8.0,,8.5,9.0,9.0,,8.3333,9.0,8.3333,,,,,,18.0,3,0.6,7.0,22.0,3,0.7333333333333333,3.0,19.0,3,0.6333333333333333,9.0,16.0,3,0.5333333333333333,8.0,18.0,3,0.6,8.0,27.9998,3,0.9333266666666666,6.0,32.5,4,0.8125,6.0,23.5,3,0.7833333333333333,5.0,26.5,3,0.8833333333333333,4.0,25.666600000000003,3,0.8555533333333334,3.0,,0,,,22.91664,5.278775812460899,5.9,5.190476190476191,67,4,7,7
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,8.0,8.0,8.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,9.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.5,7.5,8.0,7.5,7.5,8.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,,,,,24.0,3,0.8,1.0,21.0,3,0.7,4.0,21.0,3,0.7,5.0,25.0,3,0.8333333333333334,2.0,22.0,3,0.7333333333333333,6.0,24.0,3,0.8,6.0,33.0,4,0.825,1.0,23.0,3,0.7666666666666667,5.0,24.0,3,0.8,4.0,0.0,3,0.0,,,0,,,24.11111111111111,3.6209268304000717,3.7777777777777777,6.722222222222222,128,2,3,3
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,7.0,7.0,7.0,,6.0,5.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,8.0,8.5,7.5,8.0,9.0,9.0,9.5,,12.0,12.0,12.5,,10.0,9.6666,10.0,,,,,,21.0,3,0.7,3.0,18.0,3,0.6,7.0,23.0,3,0.7666666666666667,3.0,26.0,3,0.8666666666666667,1.0,26.0,3,0.8666666666666667,2.0,28.0,3,0.9333333333333333,1.0,32.0,4,0.8,3.0,27.5,3,0.9166666666666666,1.0,36.5,3,1.2166666666666666,1.0,29.666600000000003,3,0.9888866666666668,1.0,,0,,,26.76666,5.354813826040599,2.3,5.190476190476191,128,0,0,2
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,8.0,7.0,8.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,7.0,8.0,,8.0,9.0,9.0,,8.0,7.0,7.0,8.0,8.5,9.0,9.0,,9.0,9.0,9.0,,9.3333,9.3333,9.3333,,,,,,23.0,3,0.7666666666666667,2.0,20.0,3,0.6666666666666666,5.0,21.0,3,0.7,5.0,22.0,3,0.7333333333333333,7.0,23.0,3,0.7666666666666667,5.0,26.0,3,0.8666666666666667,4.0,30.0,4,0.75,5.0,26.5,3,0.8833333333333333,3.0,27.0,3,0.9,3.0,27.999899999999997,3,0.9333299999999999,3.0,,0,,,24.64999,3.300241237125283,4.2,6.0,128,1,3,5
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,8.0,,9.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,9.0,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.6666,10.0,,,,,,21.0,3,0.7,3.0,23.0,3,0.7666666666666667,1.0,25.0,3,0.8333333333333334,1.0,25.0,3,0.8333333333333334,2.0,27.0,3,0.9,1.0,27.0,3,0.9,3.0,33.0,4,0.825,1.0,27.0,3,0.9,2.0,30.0,3,1.0,2.0,29.666600000000003,3,0.9888866666666668,1.0,,0,,,26.76666,3.520831341285432,1.7,6.285714285714286,95,0,0,1
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6.0,5.0,6.0,,6.0,5.0,6.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,17.0,3,0.5666666666666667,9.0,17.0,3,0.5666666666666667,9.0,20.0,3,0.6666666666666666,8.0,21.0,3,0.7,8.0,0.0,3,0.0,,0.0,3,0.0,,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,18.75,2.0615528128088303,8.5,8.181818181818182,95,1,1,3
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,7.0,6.0,6.0,,8.0,7.0,8.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,9.0,,7.0,8.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,0.6333333333333333,5.0,23.0,3,0.7666666666666667,1.0,21.0,3,0.7,5.0,23.0,3,0.7666666666666667,4.0,26.0,3,0.8666666666666667,2.0,22.0,3,0.7333333333333333,7.0,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,22.333333333333332,2.3380903889000244,4.0,5.8,95,0,0,0
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,9.0,8.0,,8.0,7.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,0.6,7.0,18.0,3,0.6,7.0,25.0,3,0.8333333333333334,1.0,23.0,3,0.7666666666666667,4.0,22.0,3,0.7333333333333333,6.0,0.0,3,0.0,,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,21.2,3.1144823004794873,5.0,7.0,17,0,0,1
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,5.0,4.0,4.0,,6.0,5.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,13.0,3,0.43333333333333335,11.0,17.0,3,0.5666666666666667,9.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,4,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,15.0,2.8284271247461903,10.0,6.166666666666667,4,1,1,1
